Scenario,Method,Return rate,Violation rate,Survival (min),Shutdown rate (%)
S2,PI,-2962.5 \pm 378.7,267.7 \pm 265.1,222.8 \pm 64.7,99.0 \pm 2.2
S2,LinMPC,-41270.5 \pm 2532.5,22.8 \pm 16.8,8.2 \pm 0.8,100.0 \pm 0.0
S2,C-SAC,-122923.3 \pm 49415.7,42.3 \pm 34.5,3.0 \pm 1.6,100.0 \pm 0.0
S2,MA-SAC,-155384.0 \pm 31454.2,55.3 \pm 49.3,2.0 \pm 0.5,100.0 \pm 0.0
S2,NoShield,-155384.3 \pm 31453.7,55.3 \pm 49.3,2.0 \pm 0.5,100.0 \pm 0.0
S2,AgentTwin,-155384.0 \pm 31454.2,55.3 \pm 49.3,2.0 \pm 0.5,100.0 \pm 0.0
