Method,Npre per ep,Activations per h,Solve time ms per ep,Solve time ms per act (pooled)
PI,1237.6 \pm 1476.1,279.1 \pm 277.8,28.24 \pm 33.54,0.0228
LinMPC,1.0 \pm 2.2,7.6 \pm 17.1,0.03 \pm 0.06,0.0270
C-SAC,1.0 \pm 1.5,20.3 \pm 32.4,0.04 \pm 0.06,0.0401
MA-SAC,1.2 \pm 2.6,24.6 \pm 54.9,0.04 \pm 0.09,0.0329
NoShield,0.0 \pm 0.0,0.0 \pm 0.0,0.00 \pm 0.00,0.0000
AgentTwin,1.2 \pm 2.6,24.6 \pm 54.9,0.04 \pm 0.09,0.0337
