method,total_reward_mean,total_reward_std,violations_mean,violations_std
Ablation: no shield,-160.44077284666983,6.936303962358869,1.0,0.0
AgentTwin (Scheduler+MA),-168.88097013939833,14.304219462027019,1.0,0.0
Centralized SAC,-134.7042683044177,10.247581612481767,4.0,1.7320508075688772
Multi-agent SAC,-167.84540641063947,9.807199291766883,1.0,0.0
PID (PI controller),-165.0364708895394,6.888393100342311,0.0,0.0
