method,fairness_jain_mean,fairness_jain_std
Ablation: no shield,0.49938734538223306,0.003310836180174002
AgentTwin (Scheduler+MA),0.5052129821190098,0.013440493509602398
Centralized SAC,0.37998967778930154,0.0018369783226041046
Multi-agent SAC,0.5040964055716117,0.00621189074840942
PID (PI controller),0.6495575207771886,0.03751661732873305
